"Test Case ID","Test Case Description","Preconditions","Endpoint","Method","Request Body","Expected Response","Remarks"
"TC025","Positive test case for /store/order endpoint","Order object should be valid","/store/order","POST","{'id': 1, 'petId': 1, 'quantity': 1, 'shipDate': '2022-01-01T00:00:00Z', 'status': 'placed', 'complete': True}","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the order is created successfully"
"TC026","Negative test case for /store/order endpoint","Order object should be invalid","/store/order","POST","{'id': 1, 'petId': 1, 'quantity': 1, 'shipDate': '2022-01-01T00:00:00Z', 'status': 'invalid', 'complete': True}","{'code': 400, 'type': 'string', 'message': 'Invalid Order'}","Verify that the API returns an error for invalid order object"
"TC027","Boundary test case for /store/order endpoint","Order object should have minimum values","/store/order","POST","{'id': 1, 'petId': 1, 'quantity': 1, 'shipDate': '2022-01-01T00:00:00Z', 'status': 'placed', 'complete': False}","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the API returns a successful response for minimum order object"
"TC028","Validation test case for /store/order endpoint","Request body should be invalid","/store/order","POST","{'id': 1, 'petId': 1, 'quantity': 1, 'shipDate': '2022-01-01T00:00:00Z', 'status': 'placed'}","{'code': 400, 'type': 'string', 'message': 'Invalid Order'}","Verify that the API returns an error for invalid request body"
"TC029","Positive test case for /store/order/{orderId} endpoint","Order ID should be a valid integer","/store/order/{orderId}","GET","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the order is found successfully"
"TC030","Negative test case for /store/order/{orderId} endpoint","Order ID should be an invalid integer","/store/order/{orderId}","GET","","{'code': 400, 'type': 'string', 'message': 'Invalid ID supplied'}","Verify that the API returns an error for invalid order ID"
"TC031","Boundary test case for /store/order/{orderId} endpoint","Order ID should be at the minimum value","/store/order/{orderId}","GET","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the API returns a successful response for minimum order ID"
"TC032","Validation test case for /store/order/{orderId} endpoint","Request parameters should be invalid","/store/order/{orderId}","GET","","{'code': 400, 'type': 'string', 'message': 'Invalid ID supplied'}","Verify that the API returns an error for invalid request parameters"
"TC033","Positive test case for /store/order/{orderId} endpoint","Order ID should be a valid integer","/store/order/{orderId}","DELETE","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the order is deleted successfully"
"TC034","Negative test case for /store/order/{orderId} endpoint","Order ID should be an invalid integer","/store/order/{orderId}","DELETE","","{'code': 400, 'type': 'string', 'message': 'Invalid ID supplied'}","Verify that the API returns an error for invalid order ID"
"TC035","Boundary test case for /store/order/{orderId} endpoint","Order ID should be at the minimum value","/store/order/{orderId}","DELETE","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the API returns a successful response for minimum order ID"
"TC036","Validation test case for /store/order/{orderId} endpoint","Request parameters should be invalid","/store/order/{orderId}","DELETE","","{'code': 400, 'type': 'string', 'message': 'Invalid ID supplied'}","Verify that the API returns an error for invalid request parameters"
"TC037","Positive test case for /user/createWithList endpoint","List of user objects should be valid","/user/createWithList","POST","[{'id': 1, 'username': 'user1', 'firstName': 'John', 'lastName': 'Doe', 'email': 'john.doe@example.com', 'password': 'password', 'phone': '1234567890', 'userStatus': 1}, {'id': 2, 'username': 'user2', 'firstName': 'Jane', 'lastName': 'Doe', 'email': 'jane.doe@example.com', 'password': 'password', 'phone': '1234567890', 'userStatus': 1}]","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the users are created successfully"
"TC038","Negative test case for /user/createWithList endpoint","List of user objects should be invalid","/user/createWithList","POST","[{'id': 1, 'username': 'user1', 'firstName': 'John', 'lastName': 'Doe', 'email': 'john.doe@example.com', 'password': 'password', 'phone': '1234567890', 'userStatus': 1}, {'id': 2, 'username': 'user2', 'firstName': 'Jane', 'lastName': 'Doe', 'email': 'jane.doe@example.com', 'password': 'password', 'phone': '1234567890', 'userStatus': 'invalid'}]","{'code': 400, 'type': 'string', 'message': 'Invalid user supplied'}","Verify that the API returns an error for invalid list of user objects"
"TC039","Boundary test case for /user/createWithList endpoint","List of user objects should have minimum values","/user/createWithList","POST","[{'id': 1, 'username': 'user1', 'firstName': 'John', 'lastName': 'Doe', 'email': 'john.doe@example.com', 'password': 'password', 'phone': '1234567890', 'userStatus': 1}, {'id': 2, 'username': 'user2', 'firstName': 'Jane', 'lastName': 'Doe', 'email': 'jane.doe@example.com', 'password': 'password', 'phone': '1234567890'}]","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the API returns a successful response for minimum list of user objects"
"TC040","Validation test case for /user/createWithList endpoint","Request body should be invalid","/user/createWithList","POST","[{'id': 1, 'username': 'user1', 'firstName': 'John', 'lastName': 'Doe', 'email': 'john.doe@example.com', 'password': 'password', 'phone': '1234567890', 'userStatus': 1}]","{'code': 400, 'type': 'string', 'message': 'Invalid user supplied'}","Verify that the API returns an error for invalid request body"
"TC041","Positive test case for /user/{username} endpoint","Username should be a valid string","/user/{username}","GET","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the user is found successfully"
"TC042","Negative test case for /user/{username} endpoint","Username should be an invalid string","/user/{username}","GET","","{'code': 400, 'type': 'string', 'message': 'Invalid username supplied'}","Verify that the API returns an error for invalid username"
"TC043","Boundary test case for /user/{username} endpoint","Username should be at the minimum value","/user/{username}","GET","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the API returns a successful response for minimum username"
"TC044","Validation test case for /user/{username} endpoint","Request parameters should be invalid","/user/{username}","GET","","{'code': 400, 'type': 'string', 'message': 'Invalid username supplied'}","Verify that the API returns an error for invalid request parameters"
"TC045","Positive test case for /user/{username} endpoint","Username should be a valid string","/user/{username}","PUT","{'id': 1, 'username': 'user1', 'firstName': 'John', 'lastName': 'Doe', 'email': 'john.doe@example.com', 'password': 'password', 'phone': '1234567890', 'userStatus': 1}","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the user is updated successfully"
"TC046","Negative test case for /user/{username} endpoint","Username should be an invalid string","/user/{username}","PUT","{'id': 1, 'username': 'user1', 'firstName': 'John', 'lastName': 'Doe', 'email': 'john.doe@example.com', 'password': 'password', 'phone': '1234567890', 'userStatus': 1}","{'code': 400, 'type': 'string', 'message': 'Invalid user supplied'}","Verify that the API returns an error for invalid username"
"TC047","Boundary test case for /user/{username} endpoint","Username should be at the minimum value","/user/{username}","PUT","{'id': 1, 'username': 'user1', 'firstName': 'John', 'lastName': 'Doe', 'email': 'john.doe@example.com', 'password': 'password', 'phone': '1234567890', 'userStatus': 1}","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the API returns a successful response for minimum username"
"TC048","Validation test case for /user/{username} endpoint","Request parameters should be invalid","/user/{username}","PUT","","{'code': 400, 'type': 'string', 'message': 'Invalid user supplied'}","Verify that the API returns an error for invalid request parameters"
"TC049","Positive test case for /user/{username} endpoint","Username should be a valid string","/user/{username}","DELETE","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the user is deleted successfully"
"TC050","Negative test case for /user/{username} endpoint","Username should be an invalid string","/user/{username}","DELETE","","{'code': 400, 'type': 'string', 'message': 'Invalid username supplied'}","Verify that the API returns an error for invalid username"
"TC051","Boundary test case for /user/{username} endpoint","Username should be at the minimum value","/user/{username}","DELETE","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the API returns a successful response for minimum username"
"TC052","Validation test case for /user/{username} endpoint","Request parameters should be invalid","/user/{username}","DELETE","","{'code': 400, 'type': 'string', 'message': 'Invalid username supplied'}","Verify that the API returns an error for invalid request parameters"
"TC053","Positive test case for /user/login endpoint","Username and password should be valid","/user/login","GET","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the user is logged in successfully"
"TC054","Negative test case for /user/login endpoint","Username and password should be invalid","/user/login","GET","","{'code': 400, 'type': 'string', 'message': 'Invalid username/password supplied'}","Verify that the API returns an error for invalid username and password"
"TC055","Boundary test case for /user/login endpoint","Username and password should be at the minimum value","/user/login","GET","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the API returns a successful response for minimum username and password"
"TC056","Validation test case for /user/login endpoint","Query parameters should be invalid","/user/login","GET","","{'code': 400, 'type': 'string', 'message': 'Invalid username/password supplied'}","Verify that the API returns an error for invalid query parameters"
"TC057","Positive test case for /user/logout endpoint","No preconditions","/user/logout","GET","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the user is logged out successfully"
"TC058","Negative test case for /user/logout endpoint","No preconditions","/user/logout","GET","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the API returns a successful response"
"TC059","Boundary test case for /user/logout endpoint","No preconditions","/user/logout","GET","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the API returns a successful response"
"TC060","Validation test case for /user/logout endpoint","No preconditions","/user/logout","GET","","{'code': 200, 'type': 'string', 'message': 'successful operation'}","Verify that the API returns a successful response"
